month,year,#new seqs,#cumulative seqs
Jan,2020,32,32
Feb,2020,58,90
Mar,2020,332,422
Apr,2020,1541,1963
May,2020,2974,4937
Jun,2020,3394,8331
Jul,2020,3604,11935
Aug,2020,3818,15753
Sep,2020,6731,22484
Oct,2020,11939,34423
Nov,2020,4274,38697
Dec,2020,4530,43227
Jan,2021,8775,52002
Feb,2021,26078,78080
Mar,2021,42607,120687
Apr,2021,97095,217782
May,2021,104729,322511
Jun,2021,46187,368698
Jul,2021,43336,412034
Aug,2021,141958,553992
Sep,2021,267562,821554
Oct,2021,239296,1060850
Nov,2021,267270,1328120
Dec,2021,288771,1616891
Jan,2022,258522,1875413
Feb,2022,230185,2105598
